t: 422754432 ESC: 6 Hall Sensors: 769 0 		 Accel: 0.05 7.62
t: 422816104 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.01 7.58
t: 422882660 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.07 7.56
t: 422949224 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.11 7.51
t: 423015784 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.16 7.50
t: 423082344 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.17 7.48
t: 423148904 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.17 7.47
t: 423215464 ESC: 6 Hall Sensors: 769 768 		 Accel: -0.12 7.48
t: 423282024 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.08 7.54
t: 423348580 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.02 7.57
t: 423415144 ESC: 6 Hall Sensors: 769 768 		 Accel: 0.04 7.63
t: 423480664 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.09 7.67
t: 423546180 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.12 7.69
t: 423611704 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.13 7.69
t: 423729144 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.12 0.00
t: 423754648 ESC: 6 Hall Sensors: 20972 -15729 		 Accel: 0.00 0.00
t: 423821592 ESC: 6 Hall Sensors: -10486 7864 		 Accel: 0.00 0.05
t: 423891268 ESC: 6 Hall Sensors: 31457 769 		 Accel: 0.00 0.02
t: 424010780 ESC: 6 Hall Sensors: -10486 769 		 Accel: 0.00 0.00
t: 424036368 ESC: 6 Hall Sensors: 769 -13107 		 Accel: 7.52 0.00
t: 424104272 ESC: 6 Hall Sensors: 769 -15729 		 Accel: 7.50 0.00
t: 424224832 ESC: 6 Hall Sensors: -10486 -23593 		 Accel: 0.00 7.47
t: 424304716 ESC: 6 Hall Sensors: 769 769 		 Accel: 7.47 0.00
t: 424330224 ESC: 6 Hall Sensors: 769 0 		 Accel: -0.10 7.52
t: 424390928 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.10 7.54
t: 424457492 ESC: 6 Hall Sensors: 768 768 		 Accel: -0.04 7.58
t: 424524048 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.03 7.64
t: 424589572 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.10 7.67
t: 424707000 ESC: 6 Hall Sensors: 770 769 		 Accel: 0.12 0.00
t: 424732504 ESC: 6 Hall Sensors: 23593 26214 		 Accel: 0.00 0.00
t: 424850304 ESC: 6 Hall Sensors: -15729 5243 		 Accel: 0.00 7.68
t: 424928096 ESC: 6 Hall Sensors: 769 768 		 Accel: 7.65 0.00
t: 424953604 ESC: 6 Hall Sensors: 769 0 		 Accel: 0.05 7.65
t: 425013280 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.01 7.60
