t: 1491356752 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.12
t: 1491424352 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1491491952 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.15
t: 1491559552 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1491627152 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1491694748 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.20 8.14
t: 1491762352 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1491829952 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.20 8.14
t: 1491897552 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1491965152 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1492032748 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.12
t: 1492100348 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1492167956 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.13
t: 1492235544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.13
t: 1492303140 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.13
t: 1492370740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.12
t: 1492438348 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.26 8.12
t: 1492505940 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.26 8.13
t: 1492573540 ESC: 0 Hall Sensors: 648 568 		 Accel: -0.24 8.12
t: 1492641140 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.14
t: 1492708744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1492776340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1492843940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1492911540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1492979140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.20 8.14
t: 1493046740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.20 8.14
t: 1493114340 ESC: 0 Hall Sensors: 648 568 		 Accel: -0.23 8.14
t: 1493181940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1493249540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.12
t: 1493317140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.15
t: 1493384744 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.12
t: 1493452340 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.13
t: 1493519940 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.14
t: 1493587540 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.14
t: 1493655140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.12
t: 1493722740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.10
t: 1493790340 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.26 8.14
t: 1493857944 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.26 8.13
t: 1493925540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.14
t: 1493993140 ESC: 0 Hall Sensors: 650 569 		 Accel: -0.23 8.14
t: 1494060740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1494128340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1494195940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.16
t: 1494263540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.17
t: 1494331140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.15
t: 1494398740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1494466340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1494533944 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.11
t: 1494601544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.14
t: 1494669144 ESC: 0 Hall Sensors: 650 569 		 Accel: -0.23 8.13
t: 1494736744 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.14
t: 1494804348 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.26 8.12
t: 1494871944 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.12
t: 1494939544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.13
t: 1495007144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.12
t: 1495074744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.14
t: 1495142344 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.13
t: 1495209944 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.12
t: 1495277544 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1495345144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.15
t: 1495412752 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1495480352 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.14
t: 1495547952 ESC: 0 Hall Sensors: 649 570 		 Accel: -0.23 8.14
t: 1495615552 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.13
t: 1495683152 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.15
t: 1495750752 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.12
t: 1495818352 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.13
t: 1495885952 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.13
t: 1495953552 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.14
t: 1496021148 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.26 8.14
t: 1496088752 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.26 8.13
t: 1496156352 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.13
t: 1496223952 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.12
t: 1496291548 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1496359144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.12
t: 1496426748 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.13
t: 1496494356 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1496561944 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.13
t: 1496629540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
