min:s.ms grams
6:31.466 822.60
6:31.566 822.63
6:31.613 822.64
6:31.748 822.64
6:31.829 822.61
6:31.914 822.60
6:31.967 822.60
6:32.068 822.60
6:32.168 822.60
6:32.249 822.58
6:32.330 822.59
6:32.416 822.61
6:32.515 822.61
6:32.615 822.61
6:32.669 822.62
6:32.785 822.63
6:32.831 822.61
6:32.969 822.59
6:33.016 822.59
6:33.117 822.57
6:33.203 822.53
6:33.286 822.53
6:33.371 822.55
6:33.471 822.55
6:33.571 822.56
6:33.672 822.56
6:33.720 822.55
6:33.819 822.57
6:33.919 822.58
6:34.019 822.59
6:34.073 822.61
6:34.173 822.62
6:34.254 822.62
