microsec deg hall1 hall2 accelX accelY
137098196 81 765 -20972 3.17 0.00
137167884 81 -23593 -18350 0.00 0.00
137240684 81 2621 -7864 0.00 0.28
137310360 81 13107 761 0.00 -3.21
137380044 81 20972 766 0.00 3.03
137448676 81 -26214 762 0.00 -1.62
137519392 81 10486 660 0.00 -1.36
137589072 81 -2621 618 0.00 1.72
137657712 81 10486 760 0.00 -2.65
137727392 81 0 767 0.00 -1.49
137792908 81 -23593 756 0.00 -2.99
137863632 81 -20972 635 0.00 3.99
137933308 81 695 709 -3.26 2.61
138000912 81 761 762 -2.71 1.90
138068512 81 767 767 -1.82 3.50
138136108 81 759 760 1.87 1.40
138202668 81 639 678 -2.08 3.79
138270268 81 646 699 -3.72 2.59
138337872 81 761 762 -3.16 5.05
138405468 81 767 767 -0.73 4.23
138473072 81 760 760 -0.15 1.46
138540672 81 677 688 1.50 0.38
138607228 81 665 700 -2.92 2.32
138674832 81 760 762 -1.43 3.16
138742428 81 766 767 -1.90 6.01
138810028 81 763 761 -0.65 0.33
138877632 81 712 690 -1.15 2.48
138945232 81 653 692 -0.40 1.82
139012832 81 760 762 -2.33 2.61
139080428 81 766 767 0.10 3.49
139146988 81 764 761 -1.05 3.77
139214592 81 716 688 -1.17 2.53
139282192 81 642 685 -1.80 1.44
139349792 81 759 761 -4.95 3.94
139417392 81 766 767 2.44 1.83
139483952 81 765 762 -1.70 3.35
139551556 81 726 705 0.96 2.10
139618116 81 673 679 -0.74 1.93
139685716 81 759 761 0.92 1.45
139752276 81 768 767 4.23 0.17
139818836 81 766 762 -2.01 4.95
139886436 81 731 713 -0.35 0.74
139954036 81 679 676 -4.30 0.11
140021632 81 757 758 -0.56 0.90
140089236 81 766 767 -0.16 0.05
140156836 81 765 763 0.27 2.10
140223396 81 728 715 1.76 0.64
140289956 81 695 654 -1.69 0.91
140357552 81 755 758 0.26 -0.12
140425156 81 766 767 -1.38 0.89
140492752 81 764 764 -0.09 3.33
140560352 81 734 725 -1.07 0.62
140627952 81 647 635 -0.53 -0.07
140696604 81 756 758 0.04 2.59
140763160 81 766 767 1.42 2.26
140829720 81 769 764 -2.41 0.34
140897324 81 745 726 -0.64 -0.64
140965964 81 647 652 1.93 1.01
141032524 81 753 756 0.94 1.67
141099084 81 768 768 -2.26 2.73
141166684 81 769 765 -2.33 -0.54
141235324 81 749 734 -1.13 3.35
141302920 81 661 645 0.49 2.81
141369480 81 748 753 1.24 1.32
141436044 81 766 766 -0.40 -1.47
141504684 81 768 765 0.27 -0.56
141572284 81 748 737 -0.58 -0.84
141640924 81 665 641 0.08 -1.34
141708512 81 746 753 0.11 0.90
141775072 81 766 766 -0.09 0.20
141842676 81 769 765 -3.77 1.35
141910280 81 752 741 -0.37 1.90
141977872 81 653 640 -1.12 1.62
142045464 81 745 751 -1.63 0.08
142113072 81 766 766 -3.26 0.57
142180676 81 766 765 1.77 1.18
142247228 81 752 744 -2.32 0.80
142314832 81 740 621 -0.71 0.90
142382428 81 743 748 -2.53 -0.77
142451072 81 765 766 -0.41 -0.46
142519712 81 767 766 -0.74 0.13
142587312 81 754 746 1.74 1.92
142653872 81 704 634 0.39 -1.59
142721472 81 739 748 -2.40 1.21
142789068 81 765 766 0.00 2.37
142907544 82 768 766 1.18 0.00
142933096 82 2621 0 1.68 0.00
142995828 82 646 640 -2.04 2.48
143063428 82 741 749 -3.67 -1.06
143132068 82 765 766 -2.28 1.13
143199668 82 769 766 -1.01 1.55
143267268 82 756 747 0.14 1.60
143333828 82 678 640 0.91 0.59
143400388 82 733 741 -0.23 0.84
143467988 82 765 765 -2.11 0.90
143535588 82 768 766 1.58 0.25
143602148 82 758 751 -2.11 2.32
143669748 82 723 642 -0.54 0.23
143737348 82 715 732 -3.62 0.42
143804948 82 765 765 -1.46 1.44
143872548 82 768 767 -1.67 0.05
143940148 82 761 755 2.03 -1.33
144007748 82 700 652 0.15 0.93
144074308 82 721 732 -0.55 0.15
144141908 82 765 765 -2.43 0.86
144209508 82 767 767 -0.14 0.92
144277108 82 763 757 2.91 1.78
144343668 82 734 660 -0.70 1.39
144411268 82 704 713 1.14 0.89
144477828 82 763 764 -1.41 2.94
144545428 82 765 767 -1.29 1.30
144613028 82 766 760 -1.49 0.53
144680628 82 722 681 -2.61 0.94
144748228 82 713 696 -1.64 1.08
144815828 82 761 762 -3.41 0.68
144883428 82 766 767 -0.15 2.48
144951028 82 767 761 -1.88 2.05
145018628 82 721 694 3.09 -0.30
145086228 82 721 686 -0.95 0.65
145153828 82 762 762 -3.93 0.63
145221440 82 767 767 -0.95 1.69
145289036 82 768 762 0.89 1.64
145355600 82 737 703 1.80 -0.70
145423200 82 686 682 -1.36 1.42
145490800 82 758 759 -1.64 1.72
145558396 82 766 767 0.05 -0.15
145625996 82 764 763 -1.34 1.55
145693600 82 733 714 -0.02 3.15
145761196 82 720 651 -2.63 -0.10
145829840 82 758 758 -1.76 2.22
145897440 82 767 767 0.78 -0.30
145965036 82 768 764 0.80 0.74
146031596 82 742 726 -1.65 0.45
146099196 82 697 648 -1.38 -0.78
146167844 82 754 756 0.44 1.70
146234404 82 766 767 -0.39 -1.23
146354948 83 768 764 0.99 0.00
146435668 84 -23593 0 0.00 0.00
146568288 86 -31457 0 0.00 0.00
146649004 87 18350 0 0.00 0.00
146729724 88 -10486 0 0.00 0.00
146761852 88 15729 0 0.92 0.00
146872008 89 736 -26214 1.76 0.00
146949812 90 -13107 23593 0.00 0.00
146981092 90 -7864 -26214 0.00 0.00
147049556 90 20972 0 0.00 0.00
147116112 90 -31457 -2621 0.00 0.00
147187876 90 -5243 31457 0.00 -1.76
147259628 90 31457 766 0.00 -2.12
