min:s.ms grams
1:22.056 799.47
1:22.156 784.85
1:22.210 778.93
1:22.310 795.93
1:22.410 794.44
1:22.491 783.27
1:22.573 790.73
1:22.658 796.49
1:22.727 790.81
1:22.811 775.39
1:22.911 796.48
1:23.012 807.59
1:23.112 790.30
1:23.212 796.32
1:23.259 809.11
1:23.359 804.96
1:23.459 781.49
1:23.513 781.31
1:23.613 808.70
1:23.693 798.39
1:23.776 790.42
1:23.860 807.32
1:23.960 811.77
1:24.061 794.58
1:24.114 773.59
1:24.230 805.89
1:24.315 812.94
1:24.416 796.34
1:24.496 799.18
1:24.578 811.03
1:24.663 807.18
1:24.762 777.25
1:24.816 784.25
1:24.916 808.22
1:25.016 799.49
1:25.116 789.17
1:25.217 798.74
1:25.264 809.78
1:25.364 789.78
1:25.464 773.20
1:25.517 804.60
1:25.617 811.59
1:25.699 798.65
1:25.779 794.21
1:25.864 803.11
1:25.964 800.94
1:26.065 778.63
1:26.118 781.36
1:26.218 802.80
1:26.318 794.76
1:26.419 791.45
1:26.519 801.07
1:26.566 804.03
1:26.666 792.57
1:26.766 786.72
1:26.820 805.66
1:26.920 807.59
1:27.020 795.78
1:27.120 795.78
1:27.168 797.04
1:27.283 794.04
1:27.367 782.09
1:27.421 793.96
1:27.521 803.64
1:27.621 796.42
1:27.703 801.74
1:27.784 800.86
1:27.869 798.47
1:27.969 793.94
1:28.070 791.81
1:28.170 800.75
1:28.204 793.72
1:28.324 792.03
1:28.424 794.59
1:28.505 795.50
1:28.587 792.76
1:28.674 792.76
1:28.772 804.61
1:28.825 804.29
1:28.925 799.57
1:29.026 800.14
1:29.126 795.82
1:29.174 792.82
1:29.273 779.21
1:29.373 788.70
1:29.473 797.42
1:29.527 784.62
1:29.627 785.05
1:29.727 798.81
1:29.774 798.81
1:29.875 783.52
1:29.975 783.61
1:30.075 797.63
1:30.129 790.20
1:30.229 779.52
1:30.329 785.40
1:30.429 788.33
1:30.476 780.62
1:30.576 775.29
1:30.679 796.96
1:30.777 796.60
1:30.830 795.62
1:30.930 799.38
1:31.031 800.08
1:31.131 800.33
1:31.179 780.17
1:31.278 785.10
1:31.378 797.34
1:31.478 788.22
1:31.532 791.34
1:31.632 801.73
1:31.732 801.73
1:31.833 785.14
1:31.879 785.90
1:31.980 811.19
1:32.080 807.09
1:32.182 796.46
1:32.234 799.15
1:32.334 802.61
1:32.434 791.73
1:32.534 775.70
1:32.581 796.00
1:32.684 796.58
1:32.782 795.47
1:32.835 798.22
1:32.935 812.52
1:33.035 810.43
1:33.082 787.15
1:33.186 785.96
1:33.282 806.12
1:33.383 800.27
1:33.436 792.64
1:33.537 798.07
1:33.637 799.35
1:33.737 785.36
1:33.784 776.87
1:33.884 806.82
1:33.984 818.32
1:34.085 804.66
1:34.138 810.92
1:34.238 820.08
1:34.338 813.63
1:34.439 790.60
1:34.485 786.21
1:34.586 813.08
1:34.688 809.97
1:34.786 796.47
1:34.840 811.06
1:34.940 826.59
1:35.040 807.14
1:35.087 778.10
1:35.188 803.87
1:35.287 829.98
1:35.388 809.21
1:35.488 788.17
1:35.541 812.09
1:35.642 817.09
1:35.742 783.42
1:35.788 778.16
1:35.889 811.19
1:35.989 823.34
1:36.042 798.05
1:36.143 788.16
1:36.243 821.86
1:36.343 821.12
1:36.424 781.02
1:36.506 775.62
1:36.590 810.94
1:36.677 822.70
1:36.759 787.36
1:36.844 778.53
1:36.944 821.22
1:37.045 816.29
1:37.145 781.21
1:37.193 785.18
1:37.292 819.71
1:37.392 823.20
1:37.446 786.89
1:37.546 792.89
1:37.646 824.23
1:37.746 811.65
1:37.793 783.35
1:37.893 788.09
1:37.994 816.90
1:38.094 816.17
1:38.147 790.39
1:38.228 801.73
1:38.348 821.95
1:38.448 810.33
1:38.495 786.51
1:38.595 798.44
1:38.682 815.81
1:38.764 808.13
1:38.849 795.06
1:38.949 810.00
1:39.049 815.58
1:39.096 798.60
1:39.183 785.74
1:39.266 808.01
1:39.397 811.49
1:39.451 803.88
1:39.551 801.17
1:39.651 814.60
1:39.732 812.22
1:39.814 793.56
1:39.899 789.24
1:39.999 808.87
1:40.053 807.15
1:40.153 795.29
1:40.253 804.46
1:40.353 819.02
1:40.434 807.62
1:40.516 786.68
1:40.601 802.58
1:40.702 814.34
1:40.754 804.31
1:40.854 795.80
1:40.955 815.42
1:41.055 815.51
1:41.102 795.58
1:41.189 785.07
1:41.318 813.09
1:41.403 816.94
1:41.456 803.39
1:41.556 803.82
1:41.657 823.31
1:41.737 816.32
1:41.819 794.06
1:41.904 790.83
1:42.004 814.64
1:42.057 811.82
1:42.158 793.36
1:42.258 804.49
1:42.358 824.93
1:42.405 809.67
1:42.521 786.01
1:42.605 805.50
1:42.707 821.69
1:42.759 810.57
1:42.859 794.05
1:42.959 811.28
1:43.060 817.34
1:43.107 799.24
1:43.193 783.22
1:43.276 810.91
1:43.407 819.70
1:43.460 807.54
1:43.561 795.87
1:43.662 820.43
1:43.761 832.18
1:43.808 814.06
1:43.908 801.65
1:44.009 815.60
1:44.109 827.62
1:44.162 817.81
1:44.263 809.05
1:44.363 821.77
1:44.410 826.25
1:44.509 812.67
1:44.609 818.09
1:44.711 825.75
1:44.763 833.70
1:44.863 821.31
1:44.964 819.14
1:45.011 825.28
1:45.111 826.21
1:45.213 822.52
1:45.311 819.88
1:45.412 822.99
1:45.512 826.28
1:45.565 825.74
1:45.666 822.57
1:45.747 822.64
1:45.828 825.70
1:45.913 825.67
1:46.013 823.25
1:46.067 822.95
1:46.167 823.90
1:46.248 824.49
1:46.329 823.35
1:46.414 822.67
1:46.530 823.22
1:46.615 823.83
1:46.717 823.59
1:46.768 823.11
1:46.868 823.49
1:46.968 823.92
1:47.068 823.47
1:47.115 823.06
